"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://www.comsoc.org/sites/default/files/styles/blog_image/public/blog_images/traininginfographicconnectedthings650.jpg,,file7_traininginfographicconnectedthings650.jpg,,,,,,,,testuser/20181104-2035
"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://www.comsoc.org/sites/default/files/styles/blog_image/public/blog_images/traininginfographicconnectedthings650.jpg,,file7_traininginfographicconnectedthings650.jpg,,,,,,,,testuser/20181104-2035
"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://www.comsoc.org/sites/default/files/styles/blog_image/public/blog_images/traininginfographicconnectedthings650.jpg,,file7_traininginfographicconnectedthings650.jpg,,,,,,,,testuser/20181104-2035
