"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
http://www.klouddata.com/wp-content/uploads/2017/08/iot-infographic.jpg,http://homeURL,file1_iot-infographic.jpg,,,,,,,,testuser/20181104-2106
"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
http://www.klouddata.com/wp-content/uploads/2017/08/iot-infographic.jpg,http://homeURL,file1_iot-infographic.jpg,,,,,,,,testuser/20181104-2106
"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
http://www.klouddata.com/wp-content/uploads/2017/08/iot-infographic.jpg,http://homeURL,file1_iot-infographic.jpg,,,,,,,,testuser/20181104-2106
