"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://www.cembs.com/blog/wp-content/uploads/2018/10/Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,https://www.cembs.com/blog/?p=611,file10_Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,,,size,182200000000,2009,2018,company,MariaMarg/20181126-2100
https://www.cembs.com/blog/wp-content/uploads/2018/10/Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,https://www.cembs.com/blog/?p=611,file10_Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,,,size,240000000000,2010,2018,company,MariaMarg/20181126-2100
https://www.cembs.com/blog/wp-content/uploads/2018/10/Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,https://www.cembs.com/blog/?p=611,file10_Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,,,size,310200000000,2011,2018,company,MariaMarg/20181126-2100
https://www.cembs.com/blog/wp-content/uploads/2018/10/Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,https://www.cembs.com/blog/?p=611,file10_Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,,,size,390200000000,2012,2018,company,MariaMarg/20181126-2100
https://www.cembs.com/blog/wp-content/uploads/2018/10/Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,https://www.cembs.com/blog/?p=611,file10_Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,,,size,485600000000,2013,2018,company,MariaMarg/20181126-2100
https://www.cembs.com/blog/wp-content/uploads/2018/10/Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,https://www.cembs.com/blog/?p=611,file10_Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,,,size,601200000000,2014,2018,company,MariaMarg/20181126-2100
https://www.cembs.com/blog/wp-content/uploads/2018/10/Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,https://www.cembs.com/blog/?p=611,file10_Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,,,size,743100000000,2015,2018,company,MariaMarg/20181126-2100
https://www.cembs.com/blog/wp-content/uploads/2018/10/Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,https://www.cembs.com/blog/?p=611,file10_Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,,,size,917200000000,2016,2018,company,MariaMarg/20181126-2100
https://www.cembs.com/blog/wp-content/uploads/2018/10/Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,https://www.cembs.com/blog/?p=611,file10_Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,,,size,1130100000000,2017,2018,company,MariaMarg/20181126-2100
https://www.cembs.com/blog/wp-content/uploads/2018/10/Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,https://www.cembs.com/blog/?p=611,file10_Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,,,size,1391000000000,2018,2018,company,MariaMarg/20181126-2100
https://www.cembs.com/blog/wp-content/uploads/2018/10/Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,https://www.cembs.com/blog/?p=611,file10_Role-of-IOT-in-the-ERP-Industry-Infographics.jpg,,,size,1710400000000,2019,2018,company,MariaMarg/20181126-2100
