"IoTNumb3rs Datenerfassung",,,,,,,,,
,,,,,,,,,
"Daten aus den Inforgrafiken sind manuell zu extrahieren. Es sollen Werte zu den folgenden Merkmalen extrahiert werden.","Hinweis: Nicht alle Merkmale sind zwingend in allen Infografiken vorhanden. ",,,,,,,,
,,,,,,,,,
Merkmal:,Erläuterung,,,"device_class classification","Was gehört dazu:",,,,
https://de.control4.com/files/large/e042a193e6b82371b834c71864868c7b.jpg,file2_e042a193e6b82371b834c71864868c7b.txt,mobile,12000000000,,,2020,2014,journalist,151018
https://www.idemia.com/sites/corporate/files/inline-images/safranidsec_infografik_smartcities_final_new_design-gb.jpg,file1_safranidsec_infografik_smartcities_final_new_design-gb.txt,,,"urban area living",0.6,2030,2017,company,231018
https://image.slidesharecdn.com/aeristheguidetoiotinfographic-151112222425-lva1-app6891/95/the-definitive-guide-to-the-internet-of-things-infographic-1-638.jpg?cb=1447367413,file4_the-definitive-guide-to-the-internet-of-things-infographic-1-638.jpg,,,"IoT market",4300000000,2020,2015,blogger,231018
https://image.slidesharecdn.com/aeristheguidetoiotinfographic-151112222425-lva1-app6891/95/the-definitive-guide-to-the-internet-of-things-infographic-1-638.jpg?cb=1447367413,file4_the-definitive-guide-to-the-internet-of-things-infographic-1-638.txt,"generic IoT US",26000000000,,,2020,2015,LinkedIn,231018
https://image.slidesharecdn.com/aeristheguidetoiotinfographic-151112222425-lva1-app6891/95/the-definitive-guide-to-the-internet-of-things-infographic-1-638.jpg?cb=1447367413,file4_the-definitive-guide-to-the-internet-of-things-infographic-1-638.txt,,,"profit IoT factories",1900000000000,2022,2015,LinkedIn,231018
https://image.slidesharecdn.com/aeristheguidetoiotinfographic-151112222425-lva1-app6891/95/the-definitive-guide-to-the-internet-of-things-infographic-1-638.jpg?cb=1447367413,file4_the-definitive-guide-to-the-internet-of-things-infographic-1-638.txt,"smart industry",20000000000,,,2020,2015,LinkedIn,231018
https://image.slidesharecdn.com/aeristheguidetoiotinfographic-151112222425-lva1-app6891/95/the-definitive-guide-to-the-internet-of-things-infographic-1-638.jpg?cb=1447367413,file4_the-definitive-guide-to-the-internet-of-things-infographic-1-638.txt,,,efficiency,+30%,2020,2015,LinkedIn,231018
https://image.slidesharecdn.com/sapoemiotinfographicisv-150831060639-lva1-app6891-160222052906/95/infographic-build-your-customer-applications-for-the-internet-of-things-on-the-cloud-platform-isv-1-638.jpg?cb=1456119046,file5_infographic-build-your-customer-applications-for-the-internet-of-things-on-the-cloud-platform-isv-1-638.txt,"generic IoT",50000000000,,,2039,2016,LinkedIn,231018
http://niftyreads.com/wp-content/uploads/2016/03/Internet_of_Things_iot.jpg,file6_Internet_of_Things_iot.txt,vehicle,25000000000,,,2020,2016,Blogger,231018
http://niftyreads.com/wp-content/uploads/2016/03/Internet_of_Things_iot.jpg,file6_Internet_of_Things_iot.txt,entertainment,21900000000,,,2020,2016,Blogger,231018
http://niftyreads.com/wp-content/uploads/2016/03/Internet_of_Things_iot.jpg,file6_Internet_of_Things_iot.txt,,,profit,11000000000000,2025,2016,Blogger,231018
http://niftyreads.com/wp-content/uploads/2016/03/Internet_of_Things_iot.jpg,file6_Internet_of_Things_iot.txt,,,"profit public ",4600000000,2026,2016,Blogger,231018
http://niftyreads.com/wp-content/uploads/2016/03/Internet_of_Things_iot.jpg,file6_Internet_of_Things_iot.txt,,,"profit private",14400000000,2026,2016,Blogger,231018
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_2.png,file1_2017_iot_trends_eng_960_2.txt,"generic IoT",50000000000,,,2020,2017,company,271018
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_2.png,file1_2017_iot_trends_eng_960_2.txt,,,"revenue smart city",88700000000,2025,2017,company,271018
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_2.png,file1_2017_iot_trends_eng_960_2.txt,,,profit,215530000000,2022,2017,company,271018
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_2.png,file1_2017_iot_trends_eng_960_2.txt,vehicle,990000000,,,2025,2017,company,271018
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_2.png,file1_2017_iot_trends_eng_960_2.txt,"vehicle self-driving",10000000,,,2020,2017,company,271018
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_2.png,file1_2017_iot_trends_eng_960_2.txt,,,"VR market",162000000000,2020,2017,company,271018
https://iot.telefonica.com/sites/default/files/2017_iot_trends_eng_960_2.png,file1_2017_iot_trends_eng_960_2.txt,"generic IoT",27000000000,,,2025,2017,company,271018
https://www.intel.com/content/dam/www/public/us/en/images/iot/guide-to-iot-infographic.png,file2_guide-to-iot-infographic.txt,"generic IoT",200000000000,,,2020,2016,scientist,271018
https://www.intel.com/content/dam/www/public/us/en/images/iot/guide-to-iot-infographic.png,file2_guide-to-iot-infographic.txt,,,"global worth",6200000000000,2025,2016,scientist,271018
https://www.intel.com/content/dam/www/public/us/en/images/iot/guide-to-iot-infographic.png,file2_guide-to-iot-infographic.txt,health,2500000000000,,,2025,2016,scientist,271018
https://www.intel.com/content/dam/www/public/us/en/images/iot/guide-to-iot-infographic.png,file2_guide-to-iot-infographic.txt,"smart industry",2300000000000,,,2025,2016,scientist,271018
https://www.entrust.com/wp-content/uploads/2014/09/EntrustIOTinfographic.png,file3_EntrustIOTinfographic.txt,"generic IoT",26000000000,,,2020,2016,scientist,271018
http://www.vibrantdoors.co.uk/news/wp-content/uploads/2016/01/smart-home.png,file5_smart-home.txt,"generic IoT",50000000000,,,2020,2016,scientist,271018
http://www.vibrantdoors.co.uk/news/wp-content/uploads/2016/01/smart-home.png,file5_smart-home.txt,"smart home",200000000,,,2018,2016,scientist,271018
https://www.boston-technology.com/wp-content/uploads/images/IOT-infographic-2-1.png,file6_IOT-infographic-2-1.txt,health,2500000000000,,,2025,2016,company,271018
https://www.boston-technology.com/wp-content/uploads/images/IOT-infographic-2-1.png,file6_IOT-infographic-2-1.txt,,,"wireless health",59700000000,2018,2016,company,271018
https://www.boston-technology.com/wp-content/uploads/images/IOT-infographic-2-1.png,file6_IOT-infographic-2-1.txt,,,"health growth",117000000000,2020,2016,company,271018
https://www.comsoc.org/sites/default/files/styles/blog_image/public/blog_images/traininginfographicconnectedthings650.jpg,file7_traininginfographicconnectedthings650.txt,vehicle,250000000,,,2020,2016,forum,271018
https://www.comsoc.org/sites/default/files/styles/blog_image/public/blog_images/traininginfographicconnectedthings650.jpg,file7_traininginfographicconnectedthings650.txt,"smart industry",27000000000,,,2024,2016,forum,271018
https://www.comsoc.org/sites/default/files/styles/blog_image/public/blog_images/traininginfographicconnectedthings650.jpg,file7_traininginfographicconnectedthings650.txt,"generic IoT",50000000000,,,2020,2016,forum,271018
https://static1.squarespace.com/static/54060ee1e4b04db10d202cd6/t/59a450b3197aea9d17f0e111/1507771592550/iot-infographic.jpg,"Infographic file: file5_iot-infographic.txt","generic IoT",30000000000,,,2020,2018,company,301018
https://static1.squarespace.com/static/54060ee1e4b04db10d202cd6/t/59a450b3197aea9d17f0e111/1507771592550/iot-infographic.jpg,file5_iot-infographic.txt?dl=0,,,"automation tools",10000000000,2020,2018,company,301018
https://www.iot-now.com/wp-content/uploads/2014/06/Rise-Of-The-IoT-Infographic.jpg,file1_Rise-Of-The-IoT-Infographic.txt,,,"machine to machine profit",950000000000,2020,2014,journalist,11118
https://www.iot-now.com/wp-content/uploads/2014/06/Rise-Of-The-IoT-Infographic.jpg,file1_Rise-Of-The-IoT-Infographic.txt,,,"machine to machine size",12500000000,2020,2014,journalist,11118
https://www.iot-now.com/wp-content/uploads/2014/06/Rise-Of-The-IoT-Infographic.jpg,file1_Rise-Of-The-IoT-Infographic.txt,vehicle,210000000,,,2016,2014,journalist,11118
https://www.iot-now.com/wp-content/uploads/2014/06/Rise-Of-The-IoT-Infographic.jpg,file1_Rise-Of-The-IoT-Infographic.txt,"smart industry",175000000,,,2020,2014,journalist,11118
https://www.iot-now.com/wp-content/uploads/2014/06/Rise-Of-The-IoT-Infographic.jpg,file1_Rise-Of-The-IoT-Infographic.txt,retail,33200000,,,2017,2014,journalist,11118
https://www.iot-now.com/wp-content/uploads/2014/06/Rise-Of-The-IoT-Infographic.jpg,file1_Rise-Of-The-IoT-Infographic.txt,smartphone,12000000000,,,2020,2014,journalist,11118
https://www.iot-now.com/wp-content/uploads/2014/06/Rise-Of-The-IoT-Infographic.jpg,file1_Rise-Of-The-IoT-Infographic.txt,"smart industry (oil+gas industry)",871000,,,2018,2014,journalist,11118
https://www.iot-now.com/wp-content/uploads/2014/06/Rise-Of-The-IoT-Infographic.jpg,file1_Rise-Of-The-IoT-Infographic.txt,"smart home",9400000,,,2017,2014,journalist,11118
https://media.mushroomnetworks.com/wp-content/IOT-infographic-2017.jpg,file3_IOT-infographic-2017.txt,"generic IoT",50000000000,,,2020,2017,company,11118
https://media.mushroomnetworks.com/wp-content/IOT-infographic-2017.jpg,file3_IOT-infographic-2017.txt,"generic IoT",42100000000,,,2019,2017,company,11118
https://media.mushroomnetworks.com/wp-content/IOT-infographic-2017.jpg,file3_IOT-infographic-2017.txt,"generic IoT",34800000000,,,2018,2017,company,11118
https://whatsthebigdata.files.wordpress.com/2016/01/idc-iot.jpg,file4_idc-iot.txt,"generic IoT",30000000000,,,2020,2016,scientist,11118
https://alln-extcloud-storage.cisco.com/ciscoblogs/internet_of_things_infographic_3final.jpg,file5_internet_of_things_infographic_3final.txt,"generic IoT",50000000000,,,2020,2011,blogger,11118
https://www.visioncritical.com/wp-content/uploads/2017/04/20701-Internet-of-Things-infographic2-V2-VIS.jpg,file6_20701-Internet-of-Things-infographic2-V2-VIS.txt,"generic IoT",50000000000,,,2022,2017,company,11118
https://www.visioncritical.com/wp-content/uploads/2017/04/20701-Internet-of-Things-infographic2-V2-VIS.jpg,file6_20701-Internet-of-Things-infographic2-V2-VIS.txt,,,"IoT value",14400000000000,2022,2017,company,11118
https://www.visioncritical.com/wp-content/uploads/2017/04/20701-Internet-of-Things-infographic2-V2-VIS.jpg,file6_20701-Internet-of-Things-infographic2-V2-VIS.txt,,,"smart industry value",3880000000000,2027,2017,company,11118
https://www.visioncritical.com/wp-content/uploads/2017/04/iiot-infographic-1.jpg,file7_iiot-infographic-1.txt,"generic IoT",50000000000,,,2020,2016,journalist,11118
https://www.visioncritical.com/wp-content/uploads/2017/04/iiot-infographic-1.jpg,file7_iiot-infographic-1.txt,,,"smart industry value",300000000000,2020,2016,journalist,11118
https://www.truphone.com/globalassets/newsroom-en/images/iot-infographic.jpg,file8_iot-infographic.txt,"generic IoT",28000000000,,,2021,2017,company,11118
https://www.truphone.com/globalassets/newsroom-en/images/iot-infographic.jpg,file8_iot-infographic.txt,,,"add to global economy",14200000000000,2030,2017,company,11118
https://www.truphone.com/globalassets/newsroom-en/images/iot-infographic.jpg,file8_iot-infographic.txt,,,"smart home",60000000000,2020,2017,company,11118
https://www.cloudmanagementsuite.com/wp-content/uploads/2018/03/Infographic-IoT-Report-Q1-2018-1.png,file9_Infographic-IoT-Report-Q1-2018-1.txt,"generic IoT",20000000000,,,2020,2018,company,11118
https://www.cloudmanagementsuite.com/wp-content/uploads/2018/03/Infographic-IoT-Report-Q1-2018-1.png,file9_Infographic-IoT-Report-Q1-2018-1.txt,,,"global value",6250000000000,2025,2018,company,11118
