URL,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class
https://www.postscapes.com/wp-content/uploads/2018/03/postscapes-harbor-iot-infographics-compressor.jpg,file2_postscapes-harbor-iot-infographics-compressor.txt,device,2000000000,,,2014,,company
https://www.postscapes.com/wp-content/uploads/2018/03/postscapes-harbor-iot-infographics-compressor.jpg,file2_postscapes-harbor-iot-infographics-compressor.txt,device,8000000000,,,2020,,company
https://www.postscapes.com/wp-content/uploads/2018/03/postscapes-harbor-iot-infographics-compressor.jpg,file2_postscapes-harbor-iot-infographics-compressor.txt,home(consumer),3700000,,,2020,,company
https://www.postscapes.com/wp-content/uploads/2018/03/postscapes-harbor-iot-infographics-compressor.jpg,file2_postscapes-harbor-iot-infographics-compressor.txt,"Body (Health)",360000000,,,2020,,company
https://www.postscapes.com/wp-content/uploads/2018/03/postscapes-harbor-iot-infographics-compressor.jpg,file2_postscapes-harbor-iot-infographics-compressor.txt,"Transport (Mobility)",392000000,,,2020,,company
https://www.postscapes.com/wp-content/uploads/2018/03/postscapes-harbor-iot-infographics-compressor.jpg,file2_postscapes-harbor-iot-infographics-compressor.txt," Cities (Industry)",1500000,,,2020,,company
https://www.postscapes.com/wp-content/uploads/2018/03/postscapes-harbor-iot-infographics-compressor.jpg,file2_postscapes-harbor-iot-infographics-compressor.txt,,,home(consumer),79000000000,2014,,company
https://www.postscapes.com/wp-content/uploads/2018/03/postscapes-harbor-iot-infographics-compressor.jpg,file2_postscapes-harbor-iot-infographics-compressor.txt,,,"Body (Health)",6000000000,2014,,company
https://www.postscapes.com/wp-content/uploads/2018/03/postscapes-harbor-iot-infographics-compressor.jpg,file2_postscapes-harbor-iot-infographics-compressor.txt,,,"Transport (Mobility)",10000000000,2014,,company
https://www.postscapes.com/wp-content/uploads/2018/03/postscapes-harbor-iot-infographics-compressor.jpg,file2_postscapes-harbor-iot-infographics-compressor.txt,,," Cities (Industry)",59000000000,2014,,company
