"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://www.smartinsights.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-13-at-11.41.28-550x413.png,42795,file1_Screen-Shot-2017-11-13-at-11.41.28-550x413.png,,,"wearable (revenue)",30000000000,2015,2017,Blogger,Pattoho/20190115-1503
https://www.smartinsights.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-13-at-11.41.28-550x413.png,42795,file1_Screen-Shot-2017-11-13-at-11.41.28-550x413.png,,,"wearable (revenue)",37000000000,2016,2017,Blogger,Pattoho/20190115-1503
https://www.smartinsights.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-13-at-11.41.28-550x413.png,42795,file1_Screen-Shot-2017-11-13-at-11.41.28-550x413.png,,,"wearable (revenue)",38000000000,2017,2017,Blogger,Pattoho/20190115-1503
https://www.smartinsights.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-13-at-11.41.28-550x413.png,42795,file1_Screen-Shot-2017-11-13-at-11.41.28-550x413.png,,,"wearable (revenue)",40000000000,2018,2017,Blogger,Pattoho/20190115-1503
https://www.smartinsights.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-13-at-11.41.28-550x413.png,42795,file1_Screen-Shot-2017-11-13-at-11.41.28-550x413.png,,,"wearable (revenue)",48000000000,2019,2017,Blogger,Pattoho/20190115-1503
https://www.smartinsights.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-13-at-11.41.28-550x413.png,42795,file1_Screen-Shot-2017-11-13-at-11.41.28-550x413.png,,,"wearable (revenue)",52000000000,2020,2017,Blogger,Pattoho/20190115-1503
https://www.smartinsights.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-13-at-11.41.28-550x413.png,42795,file1_Screen-Shot-2017-11-13-at-11.41.28-550x413.png,,,"wearable (revenue)",65000000000,2021,2017,Blogger,Pattoho/20190115-1503
https://www.smartinsights.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-13-at-11.41.28-550x413.png,42795,file1_Screen-Shot-2017-11-13-at-11.41.28-550x413.png,,,"wearable (revenue)",88000000000,2022,2017,Blogger,Pattoho/20190115-1503
https://www.smartinsights.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-13-at-11.41.28-550x413.png,42795,file1_Screen-Shot-2017-11-13-at-11.41.28-550x413.png,,,"wearable (revenue)",112000000000,2023,2017,Blogger,Pattoho/20190115-1503
https://www.smartinsights.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-13-at-11.41.28-550x413.png,42795,file1_Screen-Shot-2017-11-13-at-11.41.28-550x413.png,,,"wearable (revenue)",130000000000,2024,2017,Blogger,Pattoho/20190115-1503
https://www.smartinsights.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-13-at-11.41.28-550x413.png,42795,file1_Screen-Shot-2017-11-13-at-11.41.28-550x413.png,,,"wearable (revenue)",142000000000,2025,2017,Blogger,Pattoho/20190115-1503
https://www.smartinsights.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-13-at-11.41.28-550x413.png,42795,file1_Screen-Shot-2017-11-13-at-11.41.28-550x413.png,,,"wearable (revenue)",150000000000,2026,2017,Blogger,Pattoho/20190115-1503
