"IoTNumb3rs Datenerfassung",,,,,,,,,,
,,,,,,,,,,
URL,home_url,filename,device_class,device_count,market_class,market_volume,prognosis_year,publication_year,authorship_class,"Dropbox folder"
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",750000000,2007,2014,company,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",1000000000,2008,,,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",1220000000,2009,,,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",1800000000,2010,,,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",2800000000,2011,,,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",3900000000,2012,,,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",4750000000,2013,,,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",5400000000,2014,,,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",5950000000,2015,,,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",6400000000,2016,,,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",6900000000,2017,,,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",7350000000,2018,,,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",7770000000,2019,,,Pattoho/20181122-1800
https://assets.weforum.org/wp-content/uploads/2015/12/Statistic_id270829_internet-of-things-global-revenue1.png,https://www.weforum.org/agenda/2015/12/5-predictions-for-the-internet-of-things-in-2016/,file41_Statistic_id270829_internet-of-things-global-revenue1.png,,,"global revenue",8100000000,2020,,,Pattoho/20181122-1800
